,density,cp,qs1CO2,qs2CO2,b01CO2,b02CO2,H1CO2,H2CO2,qs1N2,qs2N2,b01N2,b02N2,H1N2,H2N2,material,Forcefield
0,490.4532945,579.5370041,7.20119,17.09522,5.760370E-06,5.440120E-06,37655.30946,29457.88176,7.20119,17.09522,1.99135E-04,1.99135E-04,8995.44835,8995.44835,apo+N320+N428+E51,DRE_DDEC
1,513.698054,728.982508,18.71669,20,9.568130E-06,1.094430E-06,31645.28959,31645.28959,18.71669,20,1.21213E-04,1.21213E-04,9900.26388,9900.26388,apo+N320+N634+E44,DRE_DDEC
2,418.6682248,774.0317218,16.40371,20,1.118730E-05,1.244730E-06,30879.26317,30879.26317,16.40371,20,1.71206E-04,1.71206E-04,8789.25366,8789.25366,asp+N624+N391+N320+E212+E50,DRE_DDEC
3,510.1889,739.8883305,18.06627,20,9.069790E-06,6.341230E-07,33562.91965,33562.91965,18.06627,20,1.18787E-04,1.18787E-04,10085.22985,10085.22985,asp+N73+N391+N320+E50+E50,DRE_DDEC
4,623.4812392,873.955215,1.09702,0.98577,1.607390E-06,1.228640E-08,46843.32221,46843.32221,1.09702,0.98577,5.75726E-06,5.75726E-06,17192.63886,17192.63886,cdq+N32+N244+E212+E48,DRE_DDEC
5,508.1564799,976.1749823,0.74178,0.002,3.971020E-07,3.688640E-21,50000,20000,0.74178,0.002,2.23138E-06,2.23138E-06,12136.39117,12136.39117,edi+N223+N237+E212+E69,DRE_DDEC
6,653.9582647,714.1886781,4.91516,20,1.017260E-05,3.067330E-06,35642.94881,31647.56379,4.91516,20,1.07301E-04,1.07301E-04,10468.19914,10468.19914,eft+N387+N426+N320+E212+E51,DRE_DDEC
7,635.54994,694.0234353,5.37212,20,3.563190E-06,3.563190E-06,38823.1488,30638.04893,5.37212,20,1.22760E-04,1.22760E-04,9925.24489,9925.24489,epu+N280+N421+N18+E51+E105,DRE_DDEC
8,524.3362438,678.2952518,4.67878,14.77796,3.818040E-06,2.585850E-06,42054.68234,34671.78031,4.67878,14.77796,7.99030E-05,7.99030E-05,11978.36089,11978.36089,epu+N280+N428+N18+E51+E127,DRE_DDEC
9,690.2794271,671.8466941,3.02103,17.05267,5.556710E-06,2.970760E-06,41858.45628,33858.80734,3.02103,17.05267,1.04082E-04,1.04082E-04,11089.50766,11089.50766,epu+N452+N428+N18+E51+E105,DRE_DDEC
10,624.8772669,590.1393929,6.82989,20,1.515670E-05,4.119410E-06,38696.50329,30910.73986,6.82989,20,6.85832E-05,6.85832E-05,11806.73092,11806.73092,fjh+N320+N223+N395+E51+E212,DRE_DDEC
11,631.9978159,715.4370813,14.16123,20,9.915030E-06,1.822070E-06,33728.17951,32336.64728,14.16123,20,1.04294E-04,1.04294E-04,10706.85249,10706.85249,fly+N123+N320+E112+E44+E51,DRE_DDEC
12,522.6379124,729.5170451,10.72105,15.03976,9.201060E-06,1.206190E-06,36438.1551,35691.56975,10.72105,15.03976,1.21752E-04,1.21752E-04,10902.55479,10902.55479,fly+N123+N320+E115+E44+E51,DRE_DDEC
13,496.7269497,771.1223928,19.84612,20,9.223620E-06,1.019500E-06,32524.52494,32524.52494,19.84612,20,1.13945E-04,1.13945E-04,10249.31329,10249.31329,fly+N123+N320+E5+E127+E212,DRE_DDEC
14,841.7111332,759.36844,14.56017,20,1.148920E-05,1.537170E-06,31965.85401,31965.85401,14.56017,20,1.39625E-04,1.39625E-04,9954.7455,9954.7455,fly+N123+N320+E5+E127+E51,DRE_DDEC
15,672.3304668,725.6734625,1.64023,20,3.486280E-04,2.457040E-06,33942.02629,33647.06492,1.64023,20,1.59436E-04,1.59436E-04,9887.71166,9887.71166,fly+N659+N18+E199+E51+E212,DRE_DDEC
16,723.5524824,722.0949541,2.33684,20,7.380640E-05,2.617610E-06,35663.67496,33058.19481,2.33684,20,1.34547E-04,1.34547E-04,10240.28242,10240.28242,fly+N659+N18+E199+E51+E50,DRE_DDEC
17,667.7794865,710.1146968,9.20298,18.07813,6.504900E-06,2.271670E-06,37033.29704,33695.04842,9.20298,18.07813,1.03472E-04,1.03472E-04,11141.53154,11141.53154,fly+N659+N320+E180+E44+E51,DRE_DDEC
18,688.7554397,712.6590551,11.02555,16.02126,8.068590E-06,1.770960E-06,35608.56458,33542.17818,11.02555,16.02126,1.14599E-04,1.14599E-04,10743.84371,10743.84371,fly+N659+N320+E48+E44+E51,DRE_DDEC
19,661.3737385,695.0755659,10.75449,13.98948,8.458900E-06,1.337950E-06,36588.12596,34905.74356,10.75449,13.98948,1.41165E-04,1.41165E-04,10317.02974,10317.02974,fly+N659+N320+E51+E44+E51,DRE_DDEC
20,661.9930628,704.0078663,8.05482,17.89341,6.704220E-06,2.030050E-06,37956.29038,34673.48684,8.05482,17.89341,8.42265E-05,8.42265E-05,11734.43167,11734.43167,fly+N659+N320+E58+E44+E51,DRE_DDEC
21,682.1107964,990.1117962,0.70846,0.70519,6.434420E-08,6.434420E-08,44949.91158,41668.48239,0.70846,0.70519,1.49181E-06,1.49181E-06,18921.6014,18921.6014,fse+N211+N244+E212+E44,DRE_DDEC
22,660.1403749,740.2122199,12.02264,20,7.976900E-06,3.635380E-06,32198.87171,32198.87171,12.02264,20,1.31574E-04,1.31574E-04,9866.20618,9866.20618,gra+N320+N172+E50+E51,DRE_DDEC
23,682.418255,730.778219,8.95973,20,1.077790E-05,3.465750E-06,31875.584,31624.40565,8.95973,20,1.74755E-04,1.74755E-04,8779.41152,8779.41152,gra+N320+N172+E51+E212,DRE_DDEC
24,498.4926196,780.0023579,19.84786,20,8.188030E-06,8.709360E-07,32319.62537,32319.62537,19.84786,20,9.07513E-05,9.07513E-05,10642.31323,10642.31323,gra+N320+N391+E212+E127,DRE_DDEC
25,511.3387723,788.6699212,17.77741,20,9.324120E-06,7.033030E-07,33505.83372,33505.83372,17.77741,20,1.38911E-04,1.38911E-04,9881.12762,9881.12762,gra+N320+N391+E212+E71,DRE_DDEC
26,514.3476614,750.1832587,20,20,6.622980E-06,1.110090E-06,34350.01428,34350.01428,20,20,1.11471E-04,1.11471E-04,10950.22062,10950.22062,gra+N320+N391+E50+E127,DRE_DDEC
27,514.0573369,743.0631731,20,20,8.114500E-06,2.482070E-06,32468.60723,32468.60723,20,20,1.60261E-04,1.60261E-04,9155.69172,9155.69172,gra+N320+N391+E50+E19,DRE_DDEC
28,1676.964171,754.2613065,20,20,9.386670E-06,9.384500E-07,34086.51097,34086.51097,20,20,1.09593E-04,1.09593E-04,10313.61112,10313.61112,gra+N320+N391+E50+E212,DRE_DDEC
29,2270.012889,735.501643,20,20,9.156650E-06,1.118280E-06,33224.15675,33224.15675,20,20,1.13820E-04,1.13820E-04,9940.18659,9940.18659,gra+N320+N391+E50+E51,DRE_DDEC
30,443.3038381,747.0892605,16.15854,20,8.335360E-06,8.314370E-07,32464.0123,32464.0123,16.15854,20,1.24741E-04,1.24741E-04,9621.37952,9621.37952,gra+N320+N391+E51+E115,DRE_DDEC
31,1575.243189,621.3688901,1.70123,2.44356,1.286900E-06,1.286900E-06,39345.46123,33272.46542,1.70123,2.44356,2.06492E-05,2.06492E-05,14646.40398,14646.40398,hjm+N387+E44,DRE_DDEC
32,1831.499333,721.9847329,0.41744,0.17051,5.081250E-08,2.218740E-08,47683.24122,42840.50454,0.41744,0.17051,2.57838E-07,2.57838E-07,24863.55719,24863.55719,hjm+N448+E165,DRE_DDEC
33,1075.173273,732.1704667,4.12687,20,1.565640E-05,3.927690E-06,37505.46551,31766.87876,4.12687,20,1.42122E-04,1.42122E-04,10025.5382,10025.5382,hms+N320+N172+E51+E212,DRE_DDEC
34,1083.017066,725.5102506,13.03959,20,4.618750E-06,4.618750E-06,33959.97422,27862.5149,13.03959,20,1.61528E-04,1.61528E-04,8905.78283,8905.78283,hms+N320+N172+E51+E228,DRE_DDEC
35,565.4449714,720.3093904,4.95969,19.6308,6.077950E-06,4.679450E-06,38573.28805,30839.70385,4.95969,19.6308,1.53970E-04,1.53970E-04,9628.98953,9628.98953,hms+N320+N172+E51+E51,DRE_DDEC
36,377.9685285,724.6955118,12.11102,20,6.643250E-06,1.932100E-06,36278.7705,31465.38842,12.11102,20,1.31921E-04,1.31921E-04,9718.42148,9718.42148,hms+N320+N391+E51+E212,DRE_DDEC
37,756.6654357,775.1734358,10.50537,20,7.211590E-06,2.351980E-06,35363.81682,32431.11679,10.50537,20,1.46728E-04,1.46728E-04,9726.98719,9726.98719,hww+N599+N320+E105+E212,DRE_DDEC
38,1776.543713,723.8719525,2.73976,20,2.819310E-05,2.906490E-06,37575.06121,33966.96333,2.73976,20,1.27161E-04,1.27161E-04,10252.24537,10252.24537,hww+N599+N320+E127+E51,DRE_DDEC
39,649.7167346,777.4816565,9.88243,20,5.244960E-06,3.211850E-06,36111.19571,31994.11134,9.88243,20,1.23483E-04,1.23483E-04,10267.3369,10267.3369,hww+N599+N320+E145+E212,DRE_DDEC
40,726.09073,754.5941663,9.6098,20,5.077280E-06,3.498330E-06,36107.24755,31503.04523,9.6098,20,1.51036E-04,1.51036E-04,9634.45711,9634.45711,hww+N599+N320+E155+E212,DRE_DDEC
41,877.9689559,702.7540355,5.44344,20,4.486810E-06,3.576870E-06,35373.40688,31817.6936,5.44344,20,1.51661E-04,1.51661E-04,9354.58857,9354.58857,hww+N599+N320+E155+E51,DRE_DDEC
42,791.7581661,722.402877,2.96828,18.58591,1.251050E-05,4.088860E-06,40247.46864,33056.98684,2.96828,18.58591,1.09930E-04,1.09930E-04,10644.19364,10644.19364,hww+N599+N320+E51+E51,DRE_DDEC
43,856.4157173,789.9370535,12.64115,20,7.136560E-06,2.294460E-06,34270.49772,31962.36798,12.64115,20,1.51020E-04,1.51020E-04,9579.16831,9579.16831,hww+N599+N320+E5+E212,DRE_DDEC
44,753.5716188,732.7621501,7.23762,20,7.272520E-06,3.642880E-06,33514.6158,31697.50468,7.23762,20,1.66991E-04,1.66991E-04,9132.37349,9132.37349,hww+N599+N320+E5+E51,DRE_DDEC
45,658.8476367,742.3336381,7.97121,20,2.917370E-05,2.040280E-06,33367.64464,33367.64464,7.97121,20,1.31310E-04,1.31310E-04,10147.89729,10147.89729,hwx+N308+N320+E212,DRE_DDEC
46,593.9114016,714.1685429,11.11654,20,1.225410E-05,2.381820E-06,35339.46393,33320.01079,11.11654,20,1.02413E-04,1.02413E-04,11102.63371,11102.63371,hwx+N308+N320+E50,DRE_DDEC
47,704.1335154,636.6499982,4.81055,18.52092,6.408860E-06,3.421520E-06,41158.33847,33051.92196,4.81055,18.52092,1.12603E-04,1.12603E-04,10933.97891,10933.97891,hwx+N421+N320+E51,DRE_DDEC
48,520.9743964,772.9476235,11.63661,20,1.270330E-05,1.345510E-06,31514.89112,31514.89112,11.63661,20,9.92557E-05,9.92557E-05,10488.09046,10488.09046,hyb+N599+N320+E212+E50+E212,DRE_DDEC
49,530.7890141,726.0553523,16.39162,20,8.458690E-06,1.286150E-06,30341.91836,30341.91836,16.39162,20,1.14067E-04,1.14067E-04,9258.03894,9258.03894,hyb+N599+N320+E51+E212+E50,DRE_DDEC
50,608.0226078,721.7864555,17.61012,20,7.545230E-06,1.205090E-06,30304.24817,30304.24817,17.61012,20,9.04682E-05,9.04682E-05,9808.9706,9808.9706,hyb+N599+N320+E51+E50+E50,DRE_DDEC
51,602.0343416,710.7950892,20,20,7.680290E-06,1.685150E-06,29077.44168,29077.44168,20,20,9.61260E-05,9.61260E-05,9252.94526,9252.94526,hyb+N599+N320+E51+E51+E44,DRE_DDEC
52,561.2066221,718.1146392,16.00153,20,6.837770E-06,1.112120E-06,30298.72368,30298.72368,16.00153,20,1.09022E-04,1.09022E-04,9134.80939,9134.80939,hyb+N599+N320+E51+E51+E50,DRE_DDEC
53,629.6418057,558.628701,6.76711,16.09546,5.033420E-06,5.033420E-06,37912.12136,28254.01389,6.76711,16.09546,1.48030E-04,1.48030E-04,9284.69478,9284.69478,ith-d+N320+N428+E51+E19,DRE_DDEC
54,544.4195538,721.7739402,16.58307,20,4.179230E-06,4.179230E-06,32893.09845,27034.18589,16.58307,20,1.35980E-04,1.35980E-04,8626.46148,8626.46148,kdd+N320+N172+E51+E51,DRE_DDEC
55,656.1234638,744.9603184,20,20,6.340510E-06,2.746350E-06,31602.72986,31602.72986,20,20,2.28324E-04,2.28324E-04,8243.98121,8243.98121,kdd+N320+N391+E19+E127,DRE_DDEC
56,726.6608738,726.2296628,20,20,8.244370E-06,3.035280E-06,30716.38918,30716.38918,20,20,1.68292E-04,1.68292E-04,8662.33491,8662.33491,kdd+N320+N391+E19+E51,DRE_DDEC
57,720.6549949,782.0519467,18.84056,20,7.662150E-06,6.338780E-07,33407.26949,33407.26949,18.84056,20,1.81378E-04,1.81378E-04,8774.52186,8774.52186,kdd+N320+N391+E212+E127,DRE_DDEC
58,684.6130598,774.4026958,16.68365,20,9.389160E-06,7.033130E-07,33971.92622,33971.92622,16.68365,20,1.29064E-04,1.29064E-04,9705.27012,9705.27012,kdd+N320+N391+E212+E50,DRE_DDEC
59,692.1492346,753.6618462,20,20,7.752060E-06,9.699900E-07,34210.57262,34210.57262,20,20,1.39985E-04,1.39985E-04,9673.06458,9673.06458,kdd+N320+N391+E50+E127,DRE_DDEC
60,741.7266233,737.4459262,18.78696,20,9.287680E-06,7.602110E-07,33565.83212,33565.83212,18.78696,20,1.51048E-04,1.51048E-04,9199.15019,9199.15019,kdd+N320+N391+E50+E51,DRE_DDEC
61,708.7903851,724.2008385,16.73334,20,7.933640E-06,6.836870E-07,32861.63023,32861.63023,16.73334,20,1.47503E-04,1.47503E-04,8963.88609,8963.88609,kdd+N320+N391+E51+E127,DRE_DDEC
62,1359.810202,630.3718252,9.67085,20,1.579170E-05,9.704400E-07,31686.34947,31628.78279,9.67085,20,1.32586E-04,1.32586E-04,9350.94946,9350.94946,kdd+N320+N391+E51+E185,DRE_DDEC
63,1489.381856,718.1564685,15.90432,20,1.084020E-05,9.928690E-07,32388.68313,32388.68313,15.90432,20,1.26157E-04,1.26157E-04,9272.95143,9272.95143,kdd+N320+N391+E51+E50,DRE_DDEC
64,1354.075923,549.0488608,0.62067,0.4496,1.712880E-07,1.015020E-07,48507.01882,41622.75525,0.62067,0.4496,2.22835E-06,2.22835E-06,20136.24841,20136.24841,key+N173+N568+N495+E180+E50,DRE_DDEC
65,595.4406395,537.7404101,0.25094,0.8931,1.378290E-07,1.378290E-07,46147.02083,36857.98799,0.25094,0.8931,1.01778E-06,1.01778E-06,19164.01859,19164.01859,key+N221+N568+N495+E180+E51,DRE_DDEC
66,689.9607981,749.0118349,15.04583,20,1.361580E-05,1.318470E-06,32344.29567,32344.29567,15.04583,20,1.26075E-04,1.26075E-04,10055.29522,10055.29522,lhh+N172+N320+E19+E50,DRE_DDEC
67,650.3825134,763.1307673,12.4727,20,1.595320E-05,1.195720E-06,33168.37011,33168.37011,12.4727,20,1.37443E-04,1.37443E-04,10007.22002,10007.22002,lhh+N172+N320+E212+E50,DRE_DDEC
68,668.2837144,729.8127953,4.12587,20,6.831730E-05,2.615990E-06,32388.53484,32251.83238,4.12587,20,1.71564E-04,1.71564E-04,9418.70696,9418.70696,lhh+N172+N320+E212+E51,DRE_DDEC
69,519.3586297,721.6466979,3.3136,20,1.934700E-05,4.232470E-06,37744.25829,31672.76706,3.3136,20,1.83926E-04,1.83926E-04,9416.1864,9416.1864,lhh+N172+N320+E50+E51,DRE_DDEC
70,476.7459085,718.4626877,3.90022,20,1.119200E-05,3.819950E-06,37196.55024,31508.39275,3.90022,20,1.57940E-04,1.57940E-04,9563.56377,9563.56377,lhh+N172+N320+E51+E51,DRE_DDEC
71,479.8676289,736.3391182,20,20,8.070580E-06,1.083600E-06,33201.96809,33201.96809,20,20,1.81286E-04,1.81286E-04,9086.22191,9086.22191,lhh+N391+N320+E127+E44,DRE_DDEC
72,463.2248523,714.668875,18.11657,20,1.191090E-05,9.063540E-07,33352.39263,33352.39263,18.11657,20,1.55721E-04,1.55721E-04,9780.03515,9780.03515,lhh+N391+N320+E131+E44,DRE_DDEC
73,452.6314087,748.6522622,20,20,1.099980E-05,1.358700E-06,31853.96024,31853.96024,20,20,2.22088E-04,2.22088E-04,8580.1961,8580.1961,lhh+N391+N320+E151+E44,DRE_DDEC
74,557.6781353,744.602408,19.911,20,9.921510E-06,1.046810E-06,32014.08027,32014.08027,19.911,20,1.87403E-04,1.87403E-04,9015.97608,9015.97608,lhh+N391+N320+E184+E44,DRE_DDEC
75,479.3218771,727.2083574,20,20,9.047190E-06,1.536390E-06,31424.71792,31424.71792,20,20,2.13086E-04,2.13086E-04,8410.2954,8410.2954,lhh+N391+N320+E19+E44,DRE_DDEC
76,503.1266711,739.5215555,18.08873,20,9.870920E-06,7.120790E-07,33752.00573,33752.00573,18.08873,20,1.53012E-04,1.53012E-04,9528.4171,9528.4171,lhh+N391+N320+E212+E19,DRE_DDEC
77,518.8918719,738.6297129,20,20,9.128890E-06,1.350300E-06,32039.08379,32039.08379,20,20,1.32811E-04,1.32811E-04,9523.01974,9523.01974,lhh+N391+N320+E212+E44,DRE_DDEC
78,530.464785,753.9380322,15.05367,20,1.080190E-05,8.668450E-07,37903.14329,35510.31491,15.05367,20,1.16253E-04,1.16253E-04,10920.59416,10920.59416,lhh+N391+N320+E212+E50,DRE_DDEC
79,577.6351397,722.6939505,10.61712,20,6.820740E-06,2.199350E-06,38087.954,32469.37175,10.61712,20,1.01962E-04,1.01962E-04,10665.06108,10665.06108,lhh+N391+N320+E212+E51,DRE_DDEC
80,561.7429737,741.9620322,16.73732,20,1.397470E-05,6.450870E-07,35338.84875,35338.84875,16.73732,20,9.58082E-05,9.58082E-05,11280.89578,11280.89578,lhh+N391+N320+E44+E50,DRE_DDEC
81,642.2421213,727.6562862,20,20,9.249870E-06,9.019200E-07,33962.20072,33962.20072,20,20,1.45993E-04,1.45993E-04,9651.81242,9651.81242,lhh+N391+N320+E50+E44,DRE_DDEC
82,624.4574005,743.3106759,15.75654,20,9.025760E-06,1.115910E-06,38004.78106,34459.13306,15.75654,20,9.26964E-05,9.26964E-05,11431.7314,11431.7314,lhh+N391+N320+E50+E50,DRE_DDEC
83,1660.811939,690.532304,20,17.82923,4.711520E-06,4.711520E-06,33378.06381,29495.62834,20,17.82923,1.35586E-04,1.35586E-04,9421.65085,9421.65085,llj+N712+N320+E105,DRE_DDEC
84,2117.13992,744.5609575,6.55245,20,3.114720E-05,1.297680E-06,34941.60207,33847.64114,6.55245,20,1.26305E-04,1.26305E-04,10307.38176,10307.38176,mcf+N320+N391+E50+E212+E51,DRE_DDEC
85,655.925342,685.1808441,20,14.53428,2.674810E-06,2.674810E-06,36824.96493,30059.2892,20,14.53428,1.54406E-04,1.54406E-04,9413.15796,9413.15796,mcn+N18+N221+E199+E50+E212,DRE_DDEC
86,597.0608655,670.6146155,13.09631,17.01252,3.240000E-06,3.240000E-06,37229.02432,30392.94955,13.09631,17.01252,1.32804E-04,1.32804E-04,9704.31035,9704.31035,mcn+N18+N221+E199+E51+E212,DRE_DDEC
87,673.9302611,682.6271578,20,13.16142,3.687020E-06,1.953130E-06,35947.36724,31646.60189,20,13.16142,1.18399E-04,1.18399E-04,10135.53262,10135.53262,mcn+N18+N221+E212+E50+E212,DRE_DDEC
88,465.242177,668.2447083,10.93397,18.66485,3.085160E-06,3.085160E-06,38414.10722,31443.24641,10.93397,18.66485,1.04623E-04,1.04623E-04,10347.46601,10347.46601,mcn+N18+N221+E212+E51+E212,DRE_DDEC
89,479.8716342,703.0805146,3.76428,17.0526,4.402990E-06,4.402990E-06,39297.81798,30599.3548,3.76428,17.0526,1.15117E-04,1.15117E-04,10282.45467,10282.45467,mcn+N18+N339+E44+E51+E51,DRE_DDEC
90,524.5744991,695.5145838,11.15712,20,8.657890E-06,2.091460E-06,35413.1146,32760.71073,11.15712,20,1.07209E-04,1.07209E-04,10578.23047,10578.23047,mcn+N320+N674+E199+E50+E212,DRE_DDEC
91,524.8992361,687.2573666,12.20554,20,1.266430E-05,1.090180E-06,34454.91484,34124.94581,12.20554,20,8.90076E-05,8.90076E-05,11032.33249,11032.33249,mcn+N320+N674+E44+E50+E212,DRE_DDEC
92,469.8208556,607.7119776,8.96537,15.49324,3.367170E-06,3.367170E-06,37712.07083,30680.80588,8.96537,15.49324,2.04093E-04,2.04093E-04,9024.67119,9024.67119,mmn+N18+N221+N395+E50+E105+E186,DRE_DDEC
93,510.309465,606.8779062,6.72356,15.76729,3.659540E-06,3.659540E-06,37973.09913,30831.44632,6.72356,15.76729,1.78512E-04,1.78512E-04,9337.75723,9337.75723,mmn+N18+N221+N395+E51+E105+E186,DRE_DDEC
94,526.2772121,607.9568372,6.43648,13.37209,3.226930E-06,3.226930E-06,39133.75501,31889.37826,6.43648,13.37209,1.13561E-04,1.13561E-04,10739.23537,10739.23537,mmn+N18+N221+N395+E51+E105+E212,DRE_DDEC
